acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-1.721431,-8.532935,4.501099,-0.344528,0.15515977,-0.17715092,2.3999999,27.48,9.54
-1.6208745,-8.542512,4.474763,-0.43127087,-0.13194689,-0.49480084,-4.3199997,27,7.02
-1.6711528,-8.59279,4.4843397,0.10751228,0.1441642,0.21380283,-10.44,26.699999,4.08
-1.673547,-8.561666,4.498705,0.017104227,-0.014660766,-0.004886922,-16.44,27,1.5
-1.6950948,-8.552089,4.43885,0.015882496,-0.013439035,0.004886922,-15.66,27.18,1.68
-1.7022774,-8.506598,4.534618,0.003665192,-0.014660766,0.012217305,-16.14,27.119999,1.68
-1.6543933,-8.566454,4.5657425,-0.007330383,-0.013439035,0.014660766,-16.5,26.76,1.8
-1.6998832,-8.537724,4.5322237,-0.009773844,-0.013439035,0.012217305,-16.68,26.699999,1.74
-1.6831238,-8.564059,4.4819455,-0.010995574,-0.013439035,0.009773844,-17.4,26.58,1.68
-1.6519991,-8.540117,4.4699745,-0.010995574,-0.010995574,0.010995574,-17.039999,27,1.68
-1.7764976,-8.535329,4.510676,-0.004886922,-0.014660766,0.004886922,-16.859999,27.119999,2.28
-1.8219875,-8.542512,4.4484267,-0.008552114,-0.015882496,0,-16.859999,27,2.1599998
-1.7046716,-8.571242,4.4939165,-0.008552114,-0.018325957,-0.002443461,-16.74,27.06,1.68
-1.7286136,-8.573636,4.4580035,-0.003665192,-0.021991149,-0.006108652,-16.56,27.119999,1.68
-1.7238252,-8.619126,4.5178585,0.003665192,-0.02443461,-0.004886922,-16.98,27.06,1.9799999
-1.7142484,-8.583213,4.474763,0.006108652,-0.02687807,-0.002443461,-16.98,27.18,2.46
-1.6663644,-8.549694,4.4484267,0.003665192,-0.030543262,-0.001221731,-16.92,27.119999,2.28
-1.6496049,-8.532935,4.5154643,-0.001221731,-0.02565634,-0.001221731,-17.039999,26.82,2.22
-1.7286136,-8.595184,4.51307,0.002443461,-0.032986723,-0.004886922,-16.68,26.82,1.86
-1.6879122,-8.6095495,4.4484267,-0.001221731,-0.030543262,-0.003665192,-16.859999,26.519999,1.5
-1.6663644,-8.544906,4.4580035,-0.001221731,-0.029321533,-0.001221731,-16.859999,27.06,1.9799999
