acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-9.809045,-2.719813,2.0446482,-0.35796702,0.14172074,-0.1600467,15.36,12.24,-14.28
-9.200917,-2.5594015,2.0254946,-0.3200934,-0.14660765,-0.45204028,10.92,13.0199995,-15.719999
-9.090784,-2.4947581,1.9752164,0.33353242,0.09773844,0.29810223,6.2999997,12.719999,-17.4
-9.646238,-2.7724855,2.2984335,0.23701571,-0.08552113,0.10751228,2.34,12.179999,-18.539999
-9.7803135,-2.980781,2.5187001,0.2968805,-0.14538592,0.13683382,2.22,11.4,-18.66
-9.287108,-3.0550013,2.966416,0.36041048,-0.17592919,0.095294975,1.92,11.099999,-18.9
-8.365341,-2.930503,3.3327289,0.42760566,-0.204029,0.017104227,1.8,11.04,-19.32
-8.372523,-3.5673606,3.5338416,0.6389651,-0.28588495,-0.06841691,1.02,10.38,-20.16
-9.390059,-4.0653543,3.8379054,0.8344419,-0.47036624,-0.1001819,1.1999999,11.16,-20.4
-9.880871,-3.6631286,3.775656,0.7635816,-0.6035349,-0.13683382,0.59999996,10.86,-20.64
-9.564836,-3.3566709,3.8019924,0.5900958,-0.6719518,-0.21746802,0.29999998,10.74,-20.52
-9.61272,-3.5649664,3.8762126,0.54000485,-0.7110472,-0.25411993,0.84,10.8,-20.939999
-9.737218,-4.24492,4.261679,0.516792,-0.8344419,-0.30665436,0.17999999,9.66,-21
-9.624691,-4.5777135,4.5633483,0.6096435,-0.9859365,-0.54367006,0.48,9.54,-21.18
-9.753978,-4.6399627,4.9416323,0.6267477,-1.0421361,-0.59742624,0.53999996,8.94,-21.6
-9.876082,-4.7788267,5.118803,0.5448918,-1.1594223,-0.6939429,-0.71999997,8.28,-21.119999
-10.129868,-4.841076,5.085284,0.46181414,-1.2425,-0.8344419,-1.3199999,8.04,-21.539999
-10.254366,-5.1810527,5.245696,0.54611355,-1.3267993,-0.9810496,-2.28,7.5,-21.66
-10.108319,-5.8681884,5.497087,0.88208944,-1.4697418,-1.2767084,-3.3,7.3799996,-21.66
-9.821015,-5.839458,5.631162,0.8943067,-1.5125023,-1.3646729,-4.02,7.08,-22.439999
-10.283096,-5.6096144,5.717354,0.71593404,-1.632232,-1.4770721,-4.68,6.7799997,-22.26
-10.19451,-5.3366756,5.523423,0.37384954,-1.7311921,-1.5454891,-5.04,6.12,-22.439999
-9.751583,-5.506664,4.8219223,0.043982297,-1.7715092,-1.7140878,-5.52,5.7,-22.38
-9.627085,-5.777209,4.9464207,0.006108652,-1.7238617,-1.8325957,-6.24,5.04,-21.84
-9.102755,-6.447585,5.171476,0.21746802,-1.7214183,-1.9730947,-7.3799996,4.7999997,-22.38
-8.623915,-6.4164605,5.044583,0.2932153,-1.6627752,-2.2186625,-8.76,4.56,-22.08
-8.736442,-5.853823,4.618415,0.07941248,-1.600467,-2.3188446,-9.96,4.3199997,-22.08
-8.475474,-5.2840033,3.8546648,-0.21380283,-1.4880677,-2.3640485,-10.86,4.08,-22.26
-7.489063,-5.231331,4.086902,-0.4654793,-1.3390167,-2.4581218,-11.94,3.3,-21.18
-6.5984197,-5.74369,4.450821,-0.4361578,-1.1948525,-2.6352727,-12.599999,2.76,-20.82
-6.4260373,-6.3661823,4.8362875,-0.111177474,-1.0726794,-2.6597073,-13.559999,1.56,-20.46
-5.9878983,-6.3709707,4.5872903,0.26633725,-0.893085,-2.5644124,-13.86,1.0799999,-19.8
-5.2720323,-5.6551046,4.8099513,0.47403142,-0.8038987,-2.379931,-14.04,0.59999996,-20.1
-4.27365,-5.29358,5.17387,0.32742378,-0.8564331,-2.235767,-13.62,0.17999999,-20.46
-3.6607344,-5.0613422,5.2744265,0.09407325,-0.87109387,-2.20278,-13.62,-0.17999999,-20.4
-2.5234885,-4.5681367,4.951209,-0.010995574,-0.6401868,-2.0024164,-14.04,-0.96,-20.22
-1.541866,-4.735731,5.6527104,0.18570304,-0.49480084,-1.781283,-13.44,-1.38,-19.98
-2.5689783,-5.887342,6.3206925,0.47525316,-0.49235737,-1.7434094,-14.16,-2.46,-19.68
-3.095703,-5.851429,6.6989765,0.6817256,-0.5497787,-1.5784758,-14.34,-3.54,-19.14
-2.1428106,-4.4125137,5.9567738,0.3885103,-0.5338962,-1.4416419,-14.16,-4.68,-19.199999
