acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-9.387665,-2.420538,1.6065093,-0.38362336,0.1441642,-0.16615535,-19.5,0.78,-22.74
-9.301474,-2.384625,1.7381904,-0.45937067,-0.10995574,-0.47891834,-9.3,11.099999,-9.599999
-9.275137,-2.4133554,1.9057846,0.018325957,0.19058995,0.2443461,-4.2,16.32,-2.76
-9.303867,-2.336741,1.9847932,-0.10140363,0.02565634,0.010995574,1.0799999,21.359999,3.78
-9.301474,-2.2529438,2.1404164,-0.10995574,0.004886922,0.008552114,1.8,21.84,3.84
-9.354146,-2.2649148,2.1404164,-0.118507855,-0.019547688,0.013439035,2.1599998,22.14,4.02
-9.354146,-2.2744915,2.1547816,-0.12217305,-0.04520403,0.021991149,2.76,22.56,4.2
-9.473856,-2.3127987,2.0470424,-0.10995574,-0.06352998,0.035430185,2.6399999,22.8,4.2599998
-9.361329,-2.3463178,2.0374656,-0.073303826,-0.07574729,0.04642576,2.52,23.16,3.9599998
-9.385271,-2.3295584,1.8890251,-0.037873644,-0.0842994,0.056199603,2.3999999,23.1,3.72
-9.414001,-2.3104045,1.7645266,-0.02565634,-0.087964594,0.062308256,1.86,22.859999,3.48
-9.437943,-2.4301147,1.6424223,-0.037873644,-0.09773844,0.065973446,1.86,22.199999,3.6
-9.354146,-2.3582888,1.532289,-0.061086524,-0.10995574,0.06963864,1.8,21.84,3.54
-9.351752,-2.3558946,1.472434,-0.08552113,-0.1160644,0.065973446,1.86,22.26,3.6599998
-9.289502,-2.3223755,1.4772224,-0.103847094,-0.11362094,0.05497787,2.1599998,22.26,3.72
-9.260772,-2.3702598,1.4508862,-0.119729586,-0.10751228,0.037873644,1.92,22.5,3.6599998
-9.239224,-2.3080103,1.4796166,-0.14538592,-0.09407325,0.021991149,1.38,22.439999,4.44
-9.16261,-2.3127987,1.4987702,-0.18203785,-0.0842994,0.013439035,1.3199999,22.439999,4.5
-9.31105,-2.3295584,1.5035586,-0.19792034,-0.062308256,0.010995574,1.4399999,22.38,4.56
-9.220071,-2.3558946,1.6328455,-0.18081611,-0.047647487,0.017104227,1.86,22.56,4.74
-9.11712,-2.3511062,1.6136919,-0.15393804,-0.04153884,0.029321533,2.28,22.859999,4.56
-9.14585,-2.2816741,1.6543933,-0.14782938,-0.028099801,0.036651913,1.9799999,22.38,4.38
-9.16261,-2.2457612,1.6879122,-0.15882497,-0.021991149,0.05375614,2.34,22.859999,4.56
-9.076419,-2.2697031,1.7357962,-0.17470746,-0.02321288,0.07086037,2.3999999,22.68,4.98
-9.088389,-2.1332338,1.7932571,-0.21624629,-0.03176499,0.0842994,2.46,22.8,5.1
-9.088389,-2.2050598,1.7621324,-0.28344148,-0.047647487,0.10873401,2.82,22.8,5.64
-9.105149,-2.2529438,1.7669208,-0.3481932,-0.0720821,0.13683382,2.3999999,22.439999,5.58
-9.325416,-2.3056161,1.7908629,-0.41172317,-0.09896017,0.16615535,2.3999999,22.439999,5.3399997
-9.507375,-2.3104045,1.8387469,-0.45448375,-0.11484267,0.18448131,2.52,22.38,5.46
-9.411607,-2.552219,1.8100165,-0.5314528,-0.15393804,0.24312437,3,22.68,5.4
-9.473856,-2.9257145,1.9656396,-0.4569272,-0.17715092,0.3286455,3.24,22.98,5.7599998
-9.739613,-2.9903579,2.3942018,-0.38606682,-0.19547687,0.36041048,3.36,22.92,6.3599997
-9.404425,-2.9017725,2.3463178,-0.32986724,-0.30665436,0.4288274,3.06,22.68,6.8399997
-9.076419,-3.2321723,2.0566192,-0.5204572,-0.40561453,0.4288274,2.58,22.26,7.14
-8.6574335,-3.7493198,1.9895816,-0.6609562,-0.4007276,0.39950588,2.76,21.84,7.5
-7.920019,-3.8355112,2.5378537,-0.54000485,-0.39461896,0.37384954,3.3,22.199999,7.5
-7.2424603,-4.1539397,2.8299465,-0.25045475,-0.42271876,0.31520647,4.02,22.439999,7.2599998
-7.7572136,-5.267244,2.6144683,0.064751714,-0.35308012,0.25411993,5.16,22.98,7.2
-8.032547,-6.1938,2.006341,0.21868975,-0.2919936,0.111177474,5.2799997,23.039999,7.5
-7.153875,-6.203377,2.0638018,0.5558874,-0.31887165,-0.08552113,4.98,22.439999,7.5
-6.244078,-5.8634,1.7310078,1.1496484,-0.3286455,-0.20891592,4.74,22.26,7.3799996
-5.9543796,-5.5138464,1.5801731,1.6310102,-0.28588495,-0.38728857,4.02,21.84,7.14
-5.947197,-5.140351,1.3670892,1.8985692,-0.22479841,-0.61941737,4.2,22.26,6.3599997
-5.662287,-4.654328,1.2545617,1.9767599,-0.13072516,-0.73792523,4.5,22.68,5.52
-5.1140146,-4.24492,1.2665327,1.8423696,-0.036651913,-0.8552113,4.92,23.16,4.68
-4.8961425,-4.0821137,1.0127473,1.6224581,0.065973446,-0.99082345,4.68,23.16,3.6599998
-4.7381253,-4.015076,0.8690952,1.4514158,0.111177474,-1.078788,4.14,22.98,3.24
-4.630386,-4.39336,0.6703765,1.6395624,0.21991149,-1.0934488,3.4199998,23.16,2.52
-4.63278,-4.7165775,0.18674773,2.1380284,0.344528,-1.0641272,2.76,23.1,1.5
-4.4580035,-4.211401,-0.21308395,2.4471262,0.44348818,-1.0567969,2.28,23.4,0.71999997
-4.498705,-3.9480386,-0.7230489,2.4178047,0.5290093,-1.0824533,1.74,23.519999,-1.14
-4.39336,-4.2305546,-1.0055647,2.324953,0.62796944,-1.1801916,1.86,23.76,-2.52
-4.3167458,-4.608838,-0.91937345,2.2992969,0.77213365,-1.3732251,1.26,23.76,-3.3
-4.098873,-4.7070007,-1.4628572,2.172237,0.79168135,-1.6566665,0.96,23.699999,-4.62
-4.642357,-5.499481,-1.9321208,1.8472565,0.87109387,-1.9889772,0.78,23.64,-5.64
-5.985504,-6.730101,-1.553837,1.6444492,1.0030408,-2.2162192,-0.35999998,22.92,-6.6
-7.180211,-7.086837,-1.9129672,1.8777997,1.0225884,-2.3310618,-0.29999998,22.98,-7.7999997
-7.8170686,-7.2951326,-3.3327289,2.2589796,0.9969321,-2.4055874,-0.42,23.16,-8.46
-8.018182,-7.539341,-4.0222588,2.4422393,1.1007792,-2.3371704,-0.78,22.8,-9.48
-8.415619,-7.062895,-2.9903579,2.5228734,1.3683381,-2.1783454,-0.96,22.68,-10.38
-9.923966,-5.8083334,-2.2050598,2.3237314,1.4575244,-2.1673498,-1.0799999,22.439999,-11.759999
-11.870452,-6.0525417,-2.861071,1.2767084,0.9272934,-2.4422393,-1.4399999,21.779999,-13.559999
-12.765883,-7.795521,-4.3358994,-0.06841691,0.4569272,-2.8356364,-1.62,21.42,-14.82
-11.496957,-8.6574335,-3.8642416,-0.44226643,0.5656612,-2.8832839,-1.56,21.3,-15.9
