acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-9.423578,-2.1308396,1.769315,-0.40194935,-0.119729586,-0.46792278,5.7599998,-15.42,1.26
-9.440337,-2.1499932,1.6783354,0.15271631,0.1600467,0.25411993,6.96,0.78,7.02
-9.461885,-2.0973208,1.7286136,0.07819075,0.007330383,0.021991149,8.34,16.98,13.0199995
-9.423578,-2.171541,1.7836803,0.10262536,0.010995574,0.017104227,10.62,33.719997,19.38
-9.459491,-2.1068976,1.769315,0.118507855,0.012217305,0.018325957,10.559999,33.66,19.32
-9.457097,-2.1140802,1.8483237,0.119729586,0.010995574,0.018325957,10.62,33.6,18.84
-9.354146,-1.9680338,1.8363527,0.1160644,0.008552114,0.015882496,11.04,33.84,18.48
-9.411607,-1.9033904,1.7980455,0.12461651,0.003665192,0.014660766,10.86,33.719997,18
-9.454702,-1.8459295,1.8746599,0.12095132,0.001221731,0.007330383,10.92,33.96,17.4
-9.385271,-1.9129672,1.8818425,0.111177474,0,-0.002443461,10.5,33.78,17.76
-9.28232,-1.7741034,1.8243817,0.1001819,-0.001221731,-0.010995574,10.5,33.899998,17.76
-9.31105,-1.7908629,1.8890251,0.09407325,0,-0.010995574,10.26,33.54,17.88
-9.409213,-1.7645266,1.8243817,0.09162979,-0.007330383,-0.007330383,9.96,33.48,18
-9.461885,-1.769315,1.8962077,0.0842994,-0.019547688,0,10.2,33.96,17.76
-9.416395,-1.8818425,1.8890251,0.06719518,-0.029321533,0.003665192,9.96,33.899998,17.699999
-9.40203,-1.8171991,1.8435353,0.056199603,-0.034208454,0,10.0199995,34.079998,17.64
-9.382876,-1.8387469,1.8267759,0.052534413,-0.036651913,-0.007330383,10.62,34.02,17.279999
-9.40203,-1.8100165,1.7669208,0.05375614,-0.030543262,-0.017104227,11.16,33.96,17.4
-9.361329,-1.8076223,1.7477672,0.064751714,-0.017104227,-0.017104227,11.04,33.899998,17.76
-9.375694,-1.7980455,1.7118542,0.06841691,-0.002443461,-0.010995574,10.92,33.78,17.279999
-9.358934,-1.733402,1.7046716,0.05375614,0.007330383,-0.002443461,10.26,33.6,17.58
-9.3733,-1.6903064,1.745373,0.02565634,0.018325957,0.010995574,9.719999,33.42,17.279999
-9.32781,-1.70946,1.7262194,0.010995574,0.029321533,0.02076942,9.719999,33.239998,16.92
-9.344569,-1.6280571,1.7669208,0.019547688,0.039095376,0.02443461,9.9,33.3,17.16
-9.255983,-1.6112977,1.8004397,0.035430185,0.042760566,0.021991149,10.38,33.66,17.279999
-9.299079,-1.6663644,1.8387469,0.036651913,0.040317107,0.021991149,10.38,33.96,17.699999
-9.382876,-1.6376339,1.9153614,0.018325957,0.036651913,0.02321288,10.38,34.44,18.359999
-9.387665,-1.6591818,1.9177556,-0.003665192,0.03176499,0.021991149,10.44,34.62,18.6
-9.440337,-1.6089035,1.9656396,-0.02076942,0.02321288,0.019547688,10.38,34.62,18.18
-9.41879,-1.70946,1.9919758,-0.047647487,0.013439035,0.014660766,10.74,34.44,17.699999
-9.337387,-1.6112977,2.018312,-0.07452556,0.007330383,0.010995574,10.62,34.02,17.22
-9.380483,-1.5586253,1.9177556,-0.07086037,0.002443461,0.008552114,10.74,34.079998,17.039999
-9.3661175,-1.6280571,1.8986019,-0.04886922,-0.009773844,0.007330383,10.5,33.84,17.52
-9.375694,-1.7621324,1.9560628,-0.04642576,-0.02321288,0.001221731,10.74,34.14,17.64
-9.3421755,-1.7884687,1.8986019,-0.061086524,-0.030543262,0,11.58,34.5,17.1
-9.325416,-1.7022774,1.8315643,-0.07452556,-0.032986723,0,11.34,34.26,17.039999
-9.3661175,-1.7764976,1.7501614,-0.07452556,-0.029321533,-0.008552114,11.5199995,34.44,16.859999
-9.330204,-1.8100165,1.7932571,-0.06963864,-0.02443461,-0.014660766,11.28,34.02,16.859999
-9.41879,-1.8818425,1.7166426,-0.0720821,-0.014660766,-0.018325957,10.92,33.66,16.92
-9.380483,-1.8602947,1.6831238,-0.065973446,0,-0.015882496,10.98,33.78,17.1
-9.442732,-1.9009962,1.6567876,-0.04886922,0.001221731,-0.009773844,10.62,33.36,17.22
-9.378088,-1.9847932,1.7142484,-0.05009095,0.010995574,-0.003665192,10.62,33.42,17.82
-9.299079,-1.8866309,1.6759412,-0.061086524,0.019547688,0.014660766,10.559999,33.78,18.48
-9.378088,-1.8555063,1.7070658,-0.05497787,0.02443461,0.04153884,10.26,33.66,18.24
-9.483433,-1.9800048,1.8052281,-0.037873644,0.030543262,0.06963864,10.26,34.02,17.88
-9.399636,-2.0326772,1.8219875,-0.013439035,0.039095376,0.10262536,10.26,33.84,17.22
-9.411607,-1.9919758,1.8674773,0.007330383,0.036651913,0.13439035,10.0199995,33.54,17.22
-9.294291,-2.1068976,1.9249382,0,0.012217305,0.15149458,10.44,33.84,17.34
-9.40203,-2.0901382,1.9536686,-0.07696902,-0.03176499,0.15515977,11.16,33.96,17.52
-9.478644,-2.1092918,1.8459295,-0.18203785,-0.062308256,0.15027285,10.62,33.84,17.82
-9.610326,-2.1691468,1.9177556,-0.27488935,-0.10751228,0.118507855,10.86,33.6,18
-9.603143,-2.2481554,1.8195933,-0.48258355,-0.19058995,0.06352998,10.74,33.3,18.06
-9.866506,-2.0087352,1.8650831,-1.0311406,-0.31887165,-0.009773844,10.139999,32.399998,18.18
-10.275913,-1.1707647,1.7717092,-1.672549,-0.37995818,-0.014660766,10.559999,32.46,18.9
-10.192117,-0.8571242,1.5945383,-2.0317378,-0.40683624,0.06963864,10.08,32.52,19.08
-9.892841,-1.2952632,1.328782,-1.8839084,-0.39828414,0.29932398,10.139999,32.04,19.26
-9.991004,-1.3742718,1.9536686,-1.5259414,-0.46670106,0.30298916,11.099999,32.28,20.279999
-8.784326,-1.970428,2.2290018,-1.1606439,-0.41416663,0.3811799,11.099999,31.74,21.06
-7.8793178,-1.4053963,2.1763294,-0.89552844,-0.34574974,0.45448375,12.179999,30.84,21.84
-8.6574335,-1.0726024,1.946486,-0.6047566,-0.39706242,0.3921755,12.36,30.24,22.74
-10.120291,-1.484405,2.3511062,-0.39461896,-0.43982297,0.32253686,12.599999,29.58,23.939999
-9.840169,-1.4891934,2.540248,-0.36896262,-0.48258355,0.2724459,13.32,29.279999,24.119999
-9.066842,-1.2138603,2.492364,-0.43127087,-0.48502702,0.2003638,14.04,29.279999,24.779999
-8.750807,-1.2880806,2.3080103,-0.4569272,-0.4569272,0.13805555,14.759999,29.039999,25.32
-8.51857,-1.7142484,2.0350714,-0.3481932,-0.4166101,0.08674286,14.639999,28.68,24.84
-8.508993,-1.7717092,1.9416976,-0.16249016,-0.3323107,0.07941248,14.4,28.019999,25.08
-8.865729,-1.934515,2.0350714,-0.04153884,-0.21746802,0.16126843,14.7,28.199999,25.019999
-9.332599,-2.0638018,2.0015526,-0.040317107,-0.12339478,0.30298916,14.5199995,27.9,25.26
-9.842564,-2.1092918,2.0446482,-0.080634214,-0.056199603,0.39584067,15.24,27.72,25.38
-9.919178,-2.1260512,2.1452048,-0.1160644,-0.02687807,0.47891834,16.26,27.96,25.38
-9.56723,-2.2888567,2.2122424,-0.18936823,-0.043982297,0.54367006,15.48,27.119999,25.56
-9.14585,-2.1811178,2.2720973,-0.21868975,-0.065973446,0.5497787,16.08,26.939999,25.859999
-8.920795,-2.1332338,2.3319526,-0.17592919,-0.10140363,0.535118,16.32,27.06,25.98
-8.736442,-2.5234885,2.4229321,-0.029321533,-0.10995574,0.5021312,16.32,26.699999,25.92
-8.63828,-2.6791117,2.6384103,0.07941248,-0.13561209,0.408058,16.98,26.58,25.74
-8.810662,-2.5306711,2.765303,0.04642576,-0.15149458,0.35430184,17.279999,26.4,25.439999
-8.987833,-2.3582888,2.7030537,-0.096516706,-0.15271631,0.23945917,16.92,26.22,25.56
-8.9040365,-2.195483,2.7509377,-0.30298916,-0.14782938,0.1441642,16.68,25.68,25.38
-8.832211,-2.0494366,2.6479871,-0.52534413,-0.12461651,0.073303826,16.619999,25.32,25.74
-8.7771435,-1.8938135,2.6288335,-0.6743952,-0.09407325,0.003665192,16.5,25.5,25.439999
-8.611943,-1.9991584,2.8060043,-0.6560693,-0.081855945,-0.052534413,17.1,25.019999,25.619999
-8.626308,-2.3511062,2.932897,-0.48747048,-0.056199603,-0.08552113,17.4,25.14,25.98
-8.640674,-2.5833437,3.040636,-0.32375857,-0.058643065,-0.10873401,17.94,25.26,26.519999
-8.635885,-2.6072857,3.1962593,-0.25411993,-0.06963864,-0.09896017,17.88,24.66,27.24
-8.810662,-2.15957,3.4093432,-0.29443705,-0.13927728,-0.10262536,17.46,24.84,27.42
-8.853758,-1.99437,3.620033,-0.43371433,-0.2321288,-0.09407325,18.119999,24.72,27.18
-8.659827,-1.7621324,3.5673606,-0.61575216,-0.3042109,-0.047647487,17.76,24.48,26.58
-8.655039,-1.553837,3.6032736,-0.68539083,-0.3567453,-0.039095376,18.359999,24.72,26.64
-8.839393,-1.520318,3.4955344,-0.57787853,-0.3640757,-0.040317107,18.359999,24.06,26.4
-8.939949,-1.7741034,3.5577838,-0.46181414,-0.3848451,-0.058643065,17.94,23.519999,27.119999
-9.069236,-1.6352397,3.7900212,-0.46670106,-0.40683624,-0.103847094,18,23.22,28.019999
-9.081207,-1.3431472,3.7541082,-0.52534413,-0.41538838,-0.10873401,18,22.98,28.08
-8.829816,-1.127669,3.5936968,-0.5717699,-0.4166101,-0.04520403,18.72,22.92,28.56
-8.561666,-0.93373865,3.560178,-0.6072,-0.43493605,0.010995574,19.02,22.92,28.8
-8.336611,-1.0031705,3.5577838,-0.6169739,-0.46303585,0.043982297,19.439999,22.8,27.96
-8.087613,-1.0486604,3.490746,-0.57543504,-0.45937067,0.111177474,19.74,22.14,27.96
-8.128315,-1.0630256,3.3542767,-0.49968776,-0.4728097,0.22235495,19.98,22.14,28.08
-8.372523,-1.0510546,3.359065,-0.40683624,-0.48624873,0.29443705,20.64,22.02,27.66
-7.9248075,-1.1803415,3.3782187,-0.29810223,-0.49357912,0.34208453,20.82,21.84,27.9
-7.3430166,-1.3742718,3.3255463,-0.2003638,-0.47891834,0.40194935,20.76,21.6,27.96
-6.8043213,-1.3910311,3.1196449,-0.0720821,-0.43371433,0.4886922,20.88,21.18,27.72
-6.6606693,-1.3599066,3.1124623,0.089186326,-0.41905355,0.55955255,20.76,20.46,27.42
-6.9623384,-1.2785037,3.2202013,0.18936823,-0.39095375,0.57543504,21.359999,20.22,27.539999
-7.2783732,-1.292869,3.1555579,0.25411993,-0.2846632,0.66950834,22.02,19.92,27.599998
-8.695741,-1.1013328,2.8682537,0.32742378,-0.27977628,0.7611381,22.8,19.98,27.84
-11.801021,-1.0055647,3.0382419,0.27488935,-0.28955013,0.784351,23.22,19.98,27.9
-12.018892,-1.0271125,3.335123,0.037873644,-0.25045475,0.73426,23.279999,19.68,27.779999
-8.944737,-0.5674258,3.0430303,-0.035430185,0.0842994,0.61575216,23.88,19.74,27.48
-9.078813,-0.51714754,1.8507179,0.2761111,0.06841691,0.35063666,23.939999,19.5,27.539999
-15.911864,-1.4532804,2.8778305,0.50335294,0.18448131,-0.003665192,24.24,19.08,27.359999
-13.611036,-1.4867992,3.181894,0.50823987,0.42394048,-0.32253686,24.6,18.84,27.24
-9.923966,-1.0151415,2.7748797,0.41050145,0.63041294,-0.61941737,24.24,18.42,27.24
-9.215282,-0.9600749,2.3558946,0.2602286,0.8246681,-0.7733554,23.519999,18.18,26.82
-10.223241,-0.21308395,2.4253263,-0.052534413,0.81489426,-0.94806284,23.279999,18.66,27.18
-10.709264,0.2753332,3.0190883,-0.4202753,0.7733554,-1.0629056,22.199999,18.779999,27.24
-10.077195,0.29209262,3.3303347,-0.57787853,0.7648033,-1.0299188,21.539999,19.32,27.779999
-9.454702,-0.16998832,3.2632968,-0.42394048,0.75136423,-0.93951076,21.42,19.74,28.68
-9.109938,-1.0462662,2.918532,-0.021991149,0.7464773,-0.71593404,20.939999,20.1,29.22
-9.150639,-1.412579,2.7365725,0.3885103,0.7452556,-0.44348818,21,20.46,29.64
-9.0716305,-1.3599066,2.705448,0.6976081,0.73548174,-0.23823744,20.58,20.76,29.76
-8.6813755,-1.3096284,2.8898015,0.91996306,0.73426,-0.105068825,19.92,21.06,30
-8.090008,-1.4700398,2.9041667,1.0885619,0.73426,-0.037873644,18.96,21.359999,29.82
-7.726089,-1.4413095,2.8395233,1.0995574,0.68783426,0.052534413,17.82,21.359999,29.88
-7.8266454,-0.91458505,2.695871,0.8356637,0.5497787,0.16371189,17.22,21.72,29.939999
-8.104373,-0.1364695,2.5450363,0.39095375,0.40439278,0.27366763,16.68,22.14,29.279999
-8.286332,0.08379706,2.2002714,-0.11484267,0.28710666,0.36041048,16.92,22.5,29.22
-8.343793,-0.01436521,2.1571758,-0.548557,0.19425514,0.40561453,16.98,23.16,28.92
-8.35337,-0.16280572,2.0829554,-0.7330383,0.13561209,0.33964106,16.74,23.22,28.68
-8.4587145,-0.5482722,2.2290018,-0.625526,0.07452556,0.2003638,16.56,22.92,28.8
-8.559271,-0.93134445,2.4708161,-0.40317106,0.017104227,0.087964594,16.26,22.619999,28.8
-8.643068,-1.0941502,2.432509,-0.2919936,-0.030543262,-0.006108652,16.68,22.439999,28.74
-8.669404,-1.1587936,2.2697031,-0.3200934,-0.096516706,-0.08307768,16.74,22.08,29.16
-8.836999,-1.1994951,2.1811178,-0.41172317,-0.15760323,-0.13194689,17.039999,21.66,29.16
-8.825027,-1.283292,1.8315643,-0.4886922,-0.1966986,-0.12583824,17.039999,21.42,30
-8.892065,-1.4532804,1.5586253,-0.47647488,-0.21502456,-0.02565634,16.199999,20.58,30.359999
-9.3421755,-1.5705963,1.3814543,-0.36163223,-0.23457226,0.119729586,15.9,20.16,30.539999
-9.471462,-1.946486,1.3934253,-0.21746802,-0.22235495,0.30665436,15.24,19.5,30.599998
-9.16261,-2.099715,1.30484,-0.14782938,-0.21013765,0.54733527,14.88,19.08,30.179998
-9.356541,-2.3391352,1.2665327,-0.11484267,-0.21013765,0.784351,15.059999,19.08,30.42
-9.77792,-2.4995465,1.4820108,-0.057421334,-0.23823744,1.001819,15.839999,19.02,30.66
-9.291897,-2.5019407,1.697489,-0.06352998,-0.24312437,1.1142182,16.44,19.38,31.08
-8.178593,-2.3104045,1.769315,-0.09407325,-0.24190263,1.0885619,17.039999,19.199999,31.439999
-7.4483614,-2.0350714,2.1930888,-0.12095132,-0.31398472,0.9505063,18.18,19.199999,31.56
-8.087613,-1.9009962,2.4947581,-0.13561209,-0.4007276,0.77213365,19.08,18.9,31.32
-10.414778,-1.7046716,2.8491,-0.3005457,-0.49480084,0.6609562,19.8,18.24,31.5
-10.87207,-0.94092125,2.858677,-0.49235737,-0.2602286,0.63407815,20.16,17.58,31.08
-9.622296,-0.29209262,1.541866,-0.17470746,-0.13561209,0.75991637,19.92,16.619999,31.26
-19.929335,-0.91219085,1.745373,0.38973203,0.19058995,0.42394048,19.619999,16.08,31.5
-17.434576,-1.8650831,3.691859,0.9505063,0.38362336,-0.10873401,19.8,15.66,31.439999
-11.767501,-1.2808979,4.8482585,1.2082914,0.4569272,-0.41050145,20.34,15.78,31.859999
-10.5680065,-0.22984336,5.3247046,1.251052,0.3408628,-0.7305948,20.039999,15.96,31.74
-10.228029,0.7326257,4.9320555,0.8906415,0.22724187,-0.94806284,20.34,16.26,31.32
-9.581595,1.0845734,3.6750996,0.12095132,0.0842994,-0.8772025,20.16,16.8,30.96
-9.706094,1.3383588,2.5498247,-0.6805039,-0.07819075,-0.6988298,19.38,17.279999,31.14
-10.496181,1.7381904,2.4660277,-1.2180653,-0.20647246,-0.52778757,19.56,17.82,30.3
-10.175357,1.9273324,2.7748797,-1.382999,-0.19181168,-0.5204572,18.96,18.18,30.66
-8.37013,1.3599066,3.2561142,-1.1545353,-0.17837265,-0.59986967,18.539999,18.24,30.599998
-6.8569937,0.23942018,3.6703112,-0.6059783,-0.23090707,-0.56077427,18.6,17.94,29.88
-6.421249,-0.61291564,3.7253778,0.039095376,-0.25411993,-0.44348818,18.359999,17.82,30.84
-6.667852,-1.4053963,3.514688,0.61819565,-0.25289822,-0.3359759,18.72,17.88,30.84
-7.4028716,-1.757344,3.3087866,1.0128145,-0.23090707,-0.1966986,18.9,17.699999,30.96
-8.128315,-1.8363527,3.3566709,1.1129965,-0.18936823,-0.05497787,19.02,17.94,31.439999
-8.070854,-1.4030021,3.2824504,0.9419542,-0.13561209,0.07086037,19.68,18.3,30.72
-7.5225816,-0.81881696,3.4859576,0.6218608,-0.14905111,0.1563815,19.38,18.48,30.119999
-7.5824366,-0.7422025,3.5697548,0.408058,-0.19058995,0.29810223,19.56,19.56,29.64
-7.81228,-0.9576807,3.691859,0.36651915,-0.25778514,0.41172317,19.92,19.859999,28.92
-7.5201874,-1.316811,3.7588966,0.41905355,-0.32375857,0.4202753,19.859999,20.16,28.38
-7.1395097,-1.5825673,3.58412,0.49968776,-0.40317106,0.3652974,20.22,20.58,27.84
-7.3286514,-1.5993267,3.3638535,0.54611355,-0.46303585,0.27366763,20.1,20.1,27.42
-7.965509,-1.3958195,2.9999347,0.48258355,-0.44104472,0.14294247,19.859999,20.16,27.48
-8.334216,-0.9935937,2.6599581,0.3005457,-0.39461896,-0.07574729,19.98,20.22,27.48
-8.269572,-0.45729253,2.4109612,0.04642576,-0.30176744,-0.29443705,19.8,19.8,27.72
-7.9032598,0.002394202,2.3343468,-0.21135938,-0.20525073,-0.47036624,20.1,19.92,27.48
-7.6351094,0.24660277,2.492364,-0.40683624,-0.14294247,-0.5742133,20.22,20.1,27.18
-7.4387846,0.2705448,2.8203697,-0.5888741,-0.10995574,-0.5900958,20.279999,20.1,27.119999
-6.8522053,0.272939,2.882619,-0.7318166,-0.056199603,-0.5546656,20.64,20.4,26.58
-6.227319,0.02873042,2.5761611,-0.6731735,0.021991149,-0.40439278,20.64,20.52,26.34
-6.7827735,-0.11971009,2.3439236,-0.408058,0.017104227,-0.22479841,20.58,20.52,25.8
-7.9008656,-0.29688102,2.4109612,-0.073303826,-0.1001819,-0.14660765,20.22,20.4,26.039999
-10.6398325,-0.7517793,2.7581203,0.27122417,0.1685988,-0.010995574,19.56,20.039999,26.279999
-10.673351,-1.0247183,2.4636335,0.7684685,0.04886922,0.11728613,19.38,19.92,26.88
-15.555128,-1.6424223,2.0231004,1.3634512,0.3555236,-0.12217305,19.74,20.4,27.779999
-19.146431,-2.6647465,3.3087866,1.5894713,0.28099802,-0.30909783,20.16,20.76,27.24
-10.5680065,-1.9440918,3.7588966,1.3878858,0.5204572,-0.52656585,20.52,21.359999,27.599998
-8.736442,-1.1420342,2.9496565,1.142318,0.53878313,-0.59498274,20.699999,22.26,27.18
-10.807426,-0.33758244,2.669535,1.0372492,0.54244834,-0.56077427,20.88,22.859999,26.34
-13.108254,-0.23463176,2.1739352,0.71593404,0.5815437,-0.54733527,20.039999,23.58,26.279999
-12.737153,-0.2753332,2.078167,0.2773328,0.50579643,-0.5644395,19.5,24.119999,25.199999
-12.58153,-0.272939,2.2960393,-0.19181168,0.4605924,-0.54367006,19.26,24.96,24.96
-11.070788,-0.29448682,2.1811178,-0.7305948,0.56077427,-0.5119051,18.3,24.9,25.019999
-9.749189,-0.33279404,1.9440918,-0.79534656,0.6084218,-0.47525316,18.06,25.08,24.6
-9.059659,-0.5602432,2.2481554,-0.73792523,0.6585127,-0.39461896,18.06,25.8,24.84
-8.324639,-1.0869676,2.753332,-0.43249258,0.6914995,-0.32375857,17.4,25.38,24.9
-7.2544312,-1.6256629,3.0621839,0.172264,0.6963864,-0.3115413,16.859999,25.439999,24.72
-6.3661823,-2.1883004,2.96881,0.9407325,0.6462954,-0.35063666,16.68,25.439999,25.019999
-6.2991447,-2.4492683,2.705448,1.4758505,0.50701815,-0.4007276,15.9,24.9,25.5
-6.615179,-2.2505496,2.3870192,1.4660766,0.2968805,-0.43493605,15.48,24.9,25.5
-6.727707,-1.5035586,2.3295584,1.0311406,0.1001819,-0.40683624,15.78,25.56,25.5
-6.7564373,-0.9840169,1.9177556,0.44226643,-0.007330383,-0.28588495,15,26.279999,25.26
-7.103596,-0.7469909,1.6711528,-0.08674286,-0.14294247,-0.13316862,15.059999,26.939999,24.96
-7.855376,-0.81642276,1.7238252,-0.50701815,-0.27122417,-0.061086524,14.759999,27.599998,24.66
-8.130709,-0.9744401,1.9249382,-0.9053023,-0.3359759,-0.13439035,13.679999,27.3,23.939999
-7.7332716,-1.043872,1.8674773,-1.2070698,-0.34208453,-0.20647246,13.74,27.119999,23.519999
-7.73806,-1.1899183,1.7381904,-1.3109168,-0.29810223,-0.1966986,13.74,26.82,22.92
-8.030152,-1.3551182,1.5921441,-1.2840388,-0.21868975,-0.12095132,13.74,26.519999,23.22
-8.295909,-1.4820108,1.5562311,-1.210735,-0.17715092,-0.001221731,14.28,26.82,24.539999
