acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-10.522516,-1.99437,1.5059528,-0.45081854,-0.02321288,-0.50823987,10.74,26.34,-29.699999
-10.445902,-1.9919758,1.6136919,0.30176744,0.25534168,0.50335294,10.32,24.96,-30.359999
-10.115502,-1.9177556,1.6472107,0.1563815,-0.04520403,0.21013765,11.58,23.22,-31.32
-9.964667,-1.8363527,1.5586253,0.06352998,-0.07574729,0.09285152,12.78,21.48,-32.1
-9.624691,-1.7477672,1.5634137,-0.008552114,-0.09285152,-0.03176499,14.099999,19.98,-32.52
-9.23683,-1.6807296,1.5059528,-0.080634214,-0.08307768,-0.15027285,14.759999,19.74,-32.94
-9.018958,-1.6519991,1.4508862,-0.11728613,-0.06841691,-0.24801129,14.94,20.1,-33
-9.040505,-1.7860745,1.484405,-0.111177474,-0.05375614,-0.30176744,14.82,20.22,-32.94
-8.961497,-1.7788919,1.376666,-0.05375614,-0.05009095,-0.29810223,14.639999,20.1,-33.48
-9.038112,-2.0039468,1.3455414,0.035430185,-0.03176499,-0.21746802,15,20.46,-33.719997
-9.598354,-2.1260512,1.316811,0.25900686,-0.006108652,-0.021991149,15,20.279999,-33.66
-10.335769,-2.8562827,1.376666,0.60231316,-0.05375614,0.15515977,15.36,20.64,-33.78
-9.7803135,-2.956839,1.5370775,0.8368854,-0.032986723,0.2406809,15.54,20.939999,-33.899998
-8.504205,-2.5378537,1.2808979,0.88453287,0.03176499,0.25167647,14.46,20.34,-33.54
-7.9750857,-2.1045034,0.94570965,0.8943067,0.07941248,0.25534168,14.58,19.92,-34.14
-8.130709,-2.2146366,0.8595184,0.956615,0.15393804,0.26267207,14.28,19.02,-34.739998
-8.719683,-2.2720973,0.8738836,0.97127575,0.17348573,0.2761111,14.04,18.18,-34.559998
-9.31105,-2.0901382,1.0103531,0.77579886,0.1441642,0.2883284,14.82,17.82,-35.52
-9.768343,-2.3319526,1.0821792,0.42394048,0.1160644,0.28710666,15.12,17.64,-35.7
-9.866506,-2.8634653,1.1755531,0.4007276,0.12217305,0.27000242,15.12,17.1,-35.7
-9.32781,-3.2441432,1.3455414,0.4728097,0.15760323,0.172264,15.36,16.56,-35.7
-8.695741,-3.0933087,1.4652514,0.5448918,0.21380283,0.003665192,15.179999,16.26,-35.28
-8.690952,-3.0358477,1.6208745,0.5644395,0.23335053,-0.16493362,15.42,15.42,-35.579998
-8.686164,-3.098097,1.6400281,0.516792,0.2125811,-0.31764993,16.08,15.179999,-35.219997
-8.774749,-2.9592333,1.6448165,0.36285394,0.16982053,-0.4447099,16.02,14.46,-35.64
-8.918402,-2.8754363,1.6903064,0.16126843,0.09896017,-0.5326745,16.44,14.16,-35.579998
-9.114726,-3.004723,1.685518,0.017104227,0.02443461,-0.5925393,15.54,13.98,-34.92
-9.390059,-3.0765493,1.6879122,-0.03176499,-0.040317107,-0.6426302,15.66,14.099999,-34.92
-9.64145,-2.9855695,1.7429788,-0.035430185,-0.095294975,-0.6817256,15.24,14.28,-34.92
-9.900024,-2.954445,1.8411411,-0.065973446,-0.14782938,-0.7122689,14.759999,13.86,-34.739998
-10.019734,-2.7844565,1.733402,-0.17348573,-0.19425514,-0.73792523,15.24,13.92,-35.28
