acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-9.500193,-1.9871874,1.721431,-0.37751472,0.15149458,-0.16737708,33.3,3.06,23.279999
-9.562442,-2.0590134,1.8028339,-0.4361578,-0.12217305,-0.5204572,22.56,13.44,-2.1599998
-9.478644,-2.0829554,1.7262194,0.04520403,0.10629055,0.14049901,17.039999,17.22,-15.78
-9.485827,-2.2050598,1.7884687,-0.062308256,-0.09162979,-0.087964594,11.58,20.16,-29.16
-9.469068,-2.255338,1.70946,-0.13194689,-0.14782938,-0.10995574,11.639999,20.1,-29.88
-9.380483,-2.3582888,1.7717092,-0.22968534,-0.15393804,-0.1282817,11.46,20.039999,-29.46
-9.385271,-2.099715,1.0295067,-0.13072516,-0.0720821,-0.118507855,11.099999,19.92,-29.34
-9.435549,-1.7597382,1.1444284,0.16493362,0.037873644,-0.02076942,11.34,20.279999,-29.46
-9.452309,-1.0199299,0.7445967,0.28588495,0.06719518,0.036651913,11.28,20.58,-29.58
-9.469068,-1.0151415,0.7278373,0.20525073,0.06352998,0.087964594,10.98,20.4,-29.82
-9.473856,-1.6496049,0.80684596,0.04886922,0.040317107,0.12217305,11.04,21,-30.179998
-9.536105,-2.1859062,1.0007763,0.013439035,0.03176499,0.06719518,11.58,21.24,-30.48
-9.533711,-2.0326772,1.3934253,0.1001819,0.030543262,0.04153884,11.46,21.06,-30.42
-9.497798,-1.7812861,1.4676456,0.105068825,0.02076942,0.017104227,11.88,21.18,-30.539999
-9.504981,-1.7190368,1.4460979,0.02321288,0.052534413,-0.008552114,12.42,20.82,-30.72
-9.543288,-1.8914193,1.5705963,-0.064751714,0.07819075,-0.013439035,11.94,20.34,-30.599998
-9.435549,-2.006341,1.5227122,-0.103847094,0.1001819,-0.029321533,11.82,19.98,-30.72
-9.442732,-2.0087352,1.4437037,-0.07696902,0.095294975,-0.043982297,11.639999,19.859999,-30.779999
-9.481039,-1.8674773,1.3599066,-0.006108652,0.081855945,-0.02565634,11.58,19.92,-30.96
