acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-9.255983,-2.303222,1.6496049,-0.3640757,0.1441642,-0.16982053,-22.56,10.559999,-2.34
-9.260772,-2.2720973,1.6304513,-0.4007276,-0.0842994,-0.4251622,-13.98,11.219999,-8.82
-9.169792,-2.2218192,1.661576,0.19181168,0.26511553,0.3726278,-6.06,11.34,-15.059999
-9.19134,-2.2984335,1.5825673,0.10262536,0.111177474,0.14905111,2.34,11.639999,-21.42
-9.205706,-2.2026656,1.6184803,0.10751228,0.1001819,0.13683382,2.7,11.759999,-21.66
-9.220071,-2.2888567,1.6496049,0.111177474,0.0842994,0.12583824,2.76,11.94,-21.3
-9.31105,-2.1859062,1.5682021,0.10140363,0.06963864,0.10629055,2.7,12.12,-21.42
-9.306262,-2.0829554,1.5753847,0.057421334,0.05497787,0.087964594,2.34,11.82,-21
-9.3421755,-2.0685902,1.5035586,-0.002443461,0.040317107,0.073303826,2.34,11.88,-21.3
-9.471462,-2.0015526,1.4652514,-0.058643065,0.02565634,0.058643065,3.06,12.3,-21.24
-9.361329,-2.1045034,1.5562311,-0.10873401,0.012217305,0.043982297,3.24,12.24,-21.119999
-9.31105,-2.0973208,1.4891934,-0.1563815,0.003665192,0.030543262,3.4199998,12.42,-21.06
-9.224859,-2.0111294,1.5011644,-0.2003638,0,0.019547688,2.82,12,-20.64
-9.332599,-2.0326772,1.5705963,-0.24190263,0.002443461,0.006108652,2.04,11.7,-20.76
-9.272743,-1.8938135,1.5442601,-0.3200934,-0.012217305,0.006108652,2.22,11.639999,-20.699999
-9.222465,-1.9656396,1.4939818,-0.42394048,-0.018325957,0.02443461,2.28,11.5199995,-20.76
-9.102755,-2.1978772,1.4987702,-0.44593164,-0.007330383,0.037873644,2.46,11.639999,-20.88
-9.3182335,-2.2744915,1.4197617,-0.37995818,0.029321533,0.08552113,2.82,11.88,-20.82
-9.689334,-2.432509,1.6591818,-0.31642818,0.073303826,0.20647246,2.76,12.84,-20.64
-9.169792,-2.6240451,1.8674773,-0.28221974,0.043982297,0.37384954,2.76,13.2,-20.52
-8.372523,-2.585738,1.8531121,-0.28710666,0.008552114,0.43127087,2.52,12.96,-20.46
-7.687782,-2.2984335,1.6232687,-0.34574974,-0.013439035,0.3848451,2.52,13.139999,-20.52
-7.2304893,-2.2122424,1.5227122,-0.34574974,-0.012217305,0.3848451,2.22,12.48,-20.82
-7.2472486,-3.3159695,1.9177556,-0.036651913,0.15271631,0.4202753,2.8799999,13.0199995,-21.18
-6.3087215,-3.5697548,2.3774424,0.13805555,0.1685988,0.40439278,3.9599998,13.74,-20.88
-4.8362875,-3.2752678,2.4468741,0.29565877,0.080634214,0.38728857,4.02,13.559999,-20.699999
-4.2185836,-3.2154129,2.0254946,0.16493362,0.019547688,0.3408628,4.7999997,13.74,-20.64
-4.4436383,-3.7732618,2.3439236,0.15515977,0.042760566,0.21991149,4.74,13.139999,-20.76
-5.149928,-4.2425256,2.5498247,0.8552113,0.029321533,0.037873644,4.3199997,12.9,-21.24
-5.391742,-3.6056678,2.695871,1.0433578,-0.061086524,-0.037873644,4.14,12.54,-21.72
-5.185841,-2.753332,2.456451,1.0225884,-0.2687807,-0.20280726,3.84,12.24,-21.42
-5.116409,-2.822764,2.3391352,0.61453044,-0.42638394,-0.34697145,3.78,11.7,-21.3
-4.948815,-3.311181,2.3223755,0.2406809,-0.50701815,-0.5021312,3.54,11.04,-21.539999
-5.2959743,-3.7349546,2.6024973,0.37018433,-0.4886922,-0.71837753,3.1799998,10.679999,-21.359999
-6.4499793,-4.098873,2.9257145,0.9101892,-0.52290064,-0.86009824,3.24,10.559999,-21.84
-7.1347213,-3.7660792,2.9951463,1.2644911,-0.6267477,-1.0140363,3,10.32,-21.66
-6.95755,-2.9400797,2.8874073,1.2095132,-0.75869465,-1.1765264,2.8799999,10.26,-21.18
-7.5465236,-3.0238767,2.8778305,0.86620694,-0.87598073,-1.1826351,3.12,10.0199995,-21.3
-8.937555,-3.5170822,2.4540567,0.45204028,-1.0311406,-1.2290609,2.6399999,9.36,-21.359999
-9.832987,-3.9600096,2.2146366,0.19914207,-1.1777482,-1.2962561,2.6399999,9.36,-21.96
-9.734824,-4.5178585,2.5570073,0.30176744,-1.2217305,-1.3548992,2.76,9.179999,-22.26
-9.610326,-4.546589,3.004723,0.59131753,-1.1252137,-1.4208726,2.46,9.24,-22.14
-9.26556,-3.3758245,3.2944214,0.8197812,-1.0348058,-1.6334536,2.3999999,9.42,-21.96
-9.23683,-2.4037786,2.837129,0.6084218,-0.91751957,-1.7800614,1.68,9.599999,-21.3
-9.208099,-3.1507695,3.1986535,0.1001819,-0.86009824,-1.65911,0.53999996,9.48,-21.539999
-9.449914,-4.7405195,4.7309427,-0.32253686,-0.7806858,-1.3573426,0.35999998,9.719999,-21.6
-9.033323,-4.8745947,5.619191,-0.20158553,-0.86254174,-1.3206906,0,10.08,-22.08
-7.759608,-4.012682,5.647922,0.06963864,-0.84299403,-1.2705997,0.24,10.139999,-22.619999
-6.8809357,-3.9336734,5.427655,0.10140363,-0.6401868,-1.0042624,0.59999996,10.38,-22.26
-6.979098,-3.5745432,6.555324,0.1881465,-0.5204572,-0.593761,0.35999998,10.74,-22.38
-7.644686,-3.58412,6.349423,0.2968805,-0.7965683,-0.3555236,-0.42,10.44,-22.38
-7.1155677,-4.261679,6.054936,0.03176499,-1.0348058,-0.26633725,-1.0799999,10.74,-22.26
-5.3582234,-4.4220905,7.1706343,-0.48747048,-1.0946705,-0.28710666,-1.38,11.219999,-22.38
-5.0014873,-3.0119057,6.88333,-0.75625116,-1.0824533,-0.63163465,-1.4399999,11.46,-22.26
-4.685453,0.89543146,5.497087,-0.2761111,-1.2082914,-0.68661255,-0.59999996,12.599999,-22.08
-3.928885,3.2920272,3.4596214,-0.22113322,-1.2229522,-0.1563815,-0.29999998,13.32,-22.56
-3.5003228,2.4899697,1.4341269,-0.32253686,-0.7476991,0.9224065,-0.48,14.099999,-23.46
-5.3007627,0.40701428,-5.755661,0.20769419,0.15760323,2.284636,-0.59999996,15.179999,-24.24
-8.688558,-5.0014873,-7.5465236,1.6151277,0.7648033,2.2883012,-0.29999998,15.719999,-25.619999
-20.025103,-5.674258,-6.861782,2.0952678,0.86009824,1.5393804,-0.06,16.02,-26.4
