acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-1.3958195,-8.602366,4.3766007,-0.0842994,0.14905111,0.18325958,-2.82,-12.48,-8.28
-1.484405,-8.595184,4.4125137,-0.4288274,-0.021991149,-0.48258355,-8.22,-3.06,3.9599998
-1.3910311,-8.595184,4.39336,0.14538592,0.23701571,0.3408628,-14.58,6.3599997,16.32
-1.4341269,-8.655039,4.3598413,0.013439035,-0.04642576,0.05009095,-20.52,15.719999,28.019999
-1.4317327,-8.645462,4.417302,0.007330383,-0.05009095,0.040317107,-20.52,15.9,28.08
-1.4437037,-8.664616,4.3766007,0.018325957,-0.05009095,0.039095376,-20.34,15.839999,27.779999
-1.4293385,-8.611943,4.4675803,0.017104227,-0.04642576,0.037873644,-19.92,15.9,27.96
-1.3359646,-8.628703,4.4795513,0.012217305,-0.047647487,0.042760566,-19.92,16.44,28.26
-1.4532804,-8.623915,4.462792,0.007330383,-0.04642576,0.040317107,-19.56,16.619999,28.199999
-1.3814543,-8.583213,4.465186,0.017104227,-0.043982297,0.036651913,-19.92,16.74,28.26
-1.4676456,-8.659827,4.378995,0.018325957,-0.04153884,0.035430185,-19.68,16.619999,28.14
-1.4700398,-8.65025,4.450821,0.018325957,-0.04153884,0.03176499,-19.74,16.14,27.599998
-1.3790601,-8.604761,4.4675803,0.028099801,-0.04153884,0.034208454,-20.4,15.96,27.72
-1.4293385,-8.6095495,4.462792,0.03176499,-0.043982297,0.028099801,-20.58,15.78,27.779999
-1.4820108,-8.480263,4.429273,0.02443461,-0.043982297,0.034208454,-20.699999,16.14,28.08
-1.42455,-8.585608,4.378995,0.013439035,-0.04642576,0.03176499,-20.46,16.32,28.5
-1.4341269,-8.588001,4.462792,0.018325957,-0.04642576,0.036651913,-20.34,15.96,28.619999
-1.4269443,-8.6574335,4.453215,0.021991149,-0.04642576,0.036651913,-20.16,15.839999,28.859999
-1.4772224,-8.599973,4.4196963,0.018325957,-0.042760566,0.034208454,-20.1,15.9,28.32
-1.5394717,-8.576031,4.5082817,0.02443461,-0.042760566,0.032986723,-20.34,16.02,28.5
-1.3982137,-8.580819,4.4556093,0.028099801,-0.042760566,0.036651913,-20.16,16.44,28.92
-1.4867992,-8.588001,4.453215,0.02321288,-0.040317107,0.030543262,-20.64,16.32,29.16
-1.4556746,-8.6334915,4.43885,0.02076942,-0.04153884,0.035430185,-21.06,15.9,29.22
-1.4221559,-8.602366,4.4364557,0.015882496,-0.039095376,0.030543262,-21,15.839999,29.46
-1.508347,-8.578424,4.4603977,0.02321288,-0.039095376,0.03176499,-21.18,15.599999,29.16
-1.4628572,-8.573636,4.4699745,0.02321288,-0.042760566,0.032986723,-20.939999,15.42,28.38
-1.5011644,-8.583213,4.4077253,0.013439035,-0.04153884,0.035430185,-20.22,15.78,28.32
-1.5442601,-8.65025,4.43885,0.017104227,-0.047647487,0.039095376,-20.039999,15.719999,28.439999
-1.4700398,-8.5473,4.498705,0.013439035,-0.04886922,0.034208454,-19.98,15.78,28.26
-1.4293385,-8.611943,4.5034933,0.009773844,-0.05375614,0.04153884,-19.32,16.14,28.08
-1.5035586,-8.635885,4.498705,0.003665192,-0.05131268,0.037873644,-19.859999,15.96,28.14
-1.5275006,-8.623915,4.5178585,0.02076942,-0.05497787,0.04642576,-20.039999,15.96,27.66
-1.4939818,-8.5473,4.4580035,0.02321288,-0.05497787,0.04520403,-19.8,15.719999,27.9
-1.4820108,-8.611943,4.486734,0.014660766,-0.05497787,0.05009095,-20.1,15.839999,28.26
-1.472434,-8.595184,4.51307,0.013439035,-0.056199603,0.05009095,-19.8,16.02,28.439999
-1.5011644,-8.544906,4.5418005,0.02443461,-0.058643065,0.04886922,-19.74,16.08,28.8
-1.5107412,-8.540117,4.4364557,0.035430185,-0.058643065,0.047647487,-19.74,16.5,28.439999
-1.5729905,-8.51857,4.5801077,0.030543262,-0.062308256,0.04520403,-19.26,16.38,28.32
-1.5251064,-8.568848,4.477157,0.02687807,-0.06841691,0.04520403,-18.72,16.56,27.9
-1.4221559,-8.542512,4.465186,0.02443461,-0.07941248,0.043982297,-18.9,16.44,27.48
-1.472434,-8.556877,4.4675803,0.010995574,-0.07819075,0.04886922,-18.48,16.56,27.42
-1.4389153,-8.540117,4.534618,0.001221731,-0.0842994,0.047647487,-18.48,16.8,27.24
-1.4269443,-8.602366,4.5872903,0.007330383,-0.08307768,0.05497787,-18.359999,16.92,27.18
-1.4341269,-8.48984,4.584896,0.008552114,-0.08552113,0.05131268,-17.82,16.98,27.66
-1.5227122,-8.520964,4.5561657,0.019547688,-0.08552113,0.052534413,-17.699999,17.039999,28.019999
-1.508347,-8.497022,4.5441947,0.021991149,-0.08552113,0.04886922,-18,17.22,28.5
-1.4508862,-8.532935,4.5513773,0.018325957,-0.087964594,0.04642576,-18.18,17.16,28.68
-1.484405,-8.487445,4.510676,0.014660766,-0.09162979,0.043982297,-18.18,17.22,28.199999
-1.5155296,-8.523358,4.546589,0.012217305,-0.089186326,0.040317107,-18.3,17.22,27.96
-1.472434,-8.599973,4.6040497,0.030543262,-0.08674286,0.042760566,-18.18,17.16,27.9
-1.5155296,-8.564059,4.6471453,0.05009095,-0.07696902,0.04642576,-18.48,16.92,28.08
-1.5562311,-8.516175,4.7381253,0.064751714,-0.07819075,0.04886922,-18.72,16.74,28.74
-1.6519991,-8.463503,4.8865657,0.043982297,-0.081855945,0.058643065,-19.32,16.26,28.92
-1.5897499,-8.331821,4.829105,-0.015882496,-0.10995574,0.065973446,-19.74,16.199999,29.16
-1.4341269,-8.477868,4.6782703,-0.07452556,-0.15149458,0.073303826,-19.199999,16.08,29.22
-1.3120226,-8.89446,4.912902,-0.12461651,-0.12339478,0.11362094,-18.9,16.38,28.38
-1.4867992,-8.808268,4.819528,-0.0720821,-0.09896017,0.1282817,-18.06,17.039999,28.5
-1.4173675,-8.468291,4.5633483,0.08674286,-0.13072516,0.16615535,-17.22,16.8,28.019999
-1.2497733,-8.401254,4.486734,0.13072516,-0.09896017,0.1685988,-17.039999,17.22,27.96
-1.2090719,-8.690952,4.6016555,0.17592919,-0.058643065,0.15393804,-16.74,17.16,28.32
-1.4748282,-8.707711,4.606444,0.30176744,-0.061086524,0.14294247,-17.4,16.56,27.72
-1.5682021,-8.817844,4.3861775,0.45081854,-0.11362094,0.17470746,-17.279999,16.92,28.26
-1.8052281,-8.310274,4.381389,0.47647488,-0.1563815,0.17837265,-17.1,17.1,27.9
-1.8914193,-8.24563,4.525041,0.41416663,-0.22479841,0.23335053,-16.8,17.279999,27.66
-1.8028339,-8.432379,4.570531,0.27488935,-0.31642818,0.25900686,-15.9,17.82,27.9
-1.5466543,-8.307879,4.7189717,0.25045475,-0.37873647,0.267559,-15.719999,17.94,27.42
-1.4508862,-8.166622,5.035006,0.2443461,-0.40317106,0.29077184,-16.26,17.88,27.72
-1.6184803,-8.504205,5.1906295,0.105068825,-0.42760566,0.31031954,-16.02,18.06,28.08
-1.7310078,-8.604761,5.6431336,0.09285152,-0.408058,0.35796702,-16.32,18.18,28.199999
-1.6208745,-8.224083,5.631162,0.24801129,-0.35796702,0.41050145,-15.78,18.539999,28.38
-1.436521,-7.833828,5.4444146,0.3213151,-0.30909783,0.37873647,-14.94,18.72,27.779999
-1.5490485,-7.8290396,5.391742,0.2724459,-0.27366763,0.312763,-14.7,19.08,27.3
-1.9608512,-7.762002,5.3941364,0.22479841,-0.22357668,0.23701571,-13.62,19.439999,27.119999
-2.4899697,-7.505822,5.4563856,0.31398472,-0.16371189,0.2125811,-13.62,19.199999,26.58
-2.552219,-7.5465236,5.4324436,0.37018433,-0.10995574,0.24190263,-12.48,19.859999,26.939999
-2.0853498,-8.00621,5.3941364,0.30909783,-0.0842994,0.26145032,-12.24,19.859999,26.88
-1.7310078,-8.02297,5.5138464,0.2773328,-0.08674286,0.2773328,-12.24,20.279999,26.939999
-1.7884687,-7.917625,5.506664,0.26389378,-0.13439035,0.3042109,-12.12,20.58,26.699999
