acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,mgm_x,mgm_y,mgm_z
-7.369353,-1.661576,1.0007763,-0.003665192,-0.001221731,0.003665192,11.34,5.16,-24.9
-8.580819,-1.9153614,1.0486604,-0.44226643,-0.059864793,-0.51068336,12.3,-9.3,-15.36
-10.491392,-2.4253263,1.2952632,-0.16126843,0.25778514,0.267559,12.54,-16.92,-10.62
-11.432313,-2.6767175,1.4053963,-0.30298916,-0.032986723,0.001221731,12.84,-23.939999,-6
-10.103531,-2.4109612,1.4149733,-0.06352998,-0.12583824,0.058643065,13.08,-23.699999,-6.42
-9.399636,-1.934515,1.2904748,0.13439035,-0.09040806,0.056199603,13.08,-23.279999,-5.8199997
-9.809045,-1.436521,1.0821792,0.1600467,-0.034208454,0.017104227,12.3,-23.22,-6.06
-10.230424,-1.4437037,1.5753847,0.05131268,0.004886922,0.12217305,12.48,-23.22,-5.8799996
-9.952697,-1.6711528,1.7645266,-0.13194689,-0.09896017,0.17470746,11.88,-23.46,-5.4
-9.167398,-1.5729905,2.1787236,-0.38606682,-0.23090707,0.13072516,11.5199995,-23.939999,-5.94
-7.8290396,-1.2425907,2.80361,-0.59620446,-0.35063666,0.030543262,12,-23.76,-5.94
-5.7867856,-1.1659763,3.70383,-0.61941737,-0.37384954,-0.16126843,11.5199995,-23.76,-5.8799996
-4.283227,-1.3263878,4.477157,-0.32375857,-0.33964106,-0.42149702,11.58,-23.64,-6.48
-4.3766007,-1.4293385,4.6710877,0.16371189,-0.39706242,-0.68416905,11.82,-23.34,-7.02
-5.626374,-1.4508862,4.477157,0.55833083,-0.63407815,-0.81489426,11.58,-23.16,-7.44
-6.31351,-1.4748282,4.4340615,0.7538077,-0.90285885,-0.7476991,12.66,-22.8,-7.9199996
-6.0262055,-1.1540052,4.3358994,0.9138544,-1.0836749,-0.5717699,13.2,-22.38,-8.22
-5.5760956,-0.055066638,3.9193082,1.0409144,-1.2718215,-0.41172317,12.54,-22.38,-7.9199996
-5.3606176,0.82360536,3.3087866,0.91629785,-1.5845845,-0.33353242,12.42,-22.38,-7.2599998
-5.0421886,0.5602432,3.359065,0.47403142,-1.7776178,-0.22602014,11.639999,-22.619999,-7.2
-5.21936,-0.1412579,3.8019924,-0.064751714,-1.8252654,-0.09162979,11.099999,-22.5,-7.44
